sample_name	age	age_group	age_unit	altitude	anonymized_name	antibiotics	bcs	bcs_grouping	body_habitat	body_product	body_site	breed	breed_grouping	collection_date	collection_timestamp	country	crude_fiber_1000kcalg_me_group	depth	description	dewormed	disease_stat	dna_extracted	elevation	emp_status	env_biome	env_feature	g_fat_1000kcal_me_group	g_protein_1000kcal_me_group	gender_specific	has_extracted_data	has_physical_specimen	histo	host_common_name	host_scientific_name	host_subject_id	host_taxid	indiv_g_fat_1000kcal_me_group	indiv_g_protein_1000kcal_me_group	indoor_outdoor	latitude	longitude	perc_crude_protein_min_group	percent_crude_fat_min_group	percent_crude_fiber_max_group	percent_met_cal_carb_group	percent_met_cal_fat_group	percent_met_cal_protein_group	physical_location	physical_specimen_location	physical_specimen_remaining	prebotic_source	protein_source	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	sex	size_grouping	state	state_us	title	tot_mass	travel_history	weight_group	weight_kg
833.AHD.11	2.0	1.0	years	0	AHD.11	maybe_no			UBERON:feces	UBERON:feces	UBERON:feces	Chihuahua	Toy/Companion	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-11_B5_R.K.1.20.12	false	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			F	true	true		domestic dog	Canis lupus familiaris	AHD.11	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	female	small			Suchodolski_dog_ibd	1.5	false	1.0	1.5
833.AHD.12	4.0	2.0	years	0	AHD.12	maybe_no			UBERON:feces	UBERON:feces	UBERON:feces	Berger_Picard	Working	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-12_B6_R.K.1.20.12		acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			MC	true	true		domestic dog	Canis lupus familiaris	AHD.12	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	male	medium			Suchodolski_dog_ibd	33.6	false	4.0	33.6
833.AHD.13	8.0	3.0	years	0	AHD.13	maybe_no			UBERON:feces	UBERON:feces	UBERON:feces	Mixed_Breed	Mixed	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-13_B7_R.K.1.20.12	true	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			FS	true	true		domestic dog	Canis lupus familiaris	AHD.13	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	female				Suchodolski_dog_ibd	7.2	false	1.0	7.2
833.AHD.14	4.0	2.0	years	0	AHD.14	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Shar_pei	Working	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-14_B8_R.K.1.20.12		acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			FS	true	true		domestic dog	Canis lupus familiaris	AHD.14	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	female	medium			Suchodolski_dog_ibd	19.2	true	2.0	19.2
833.AHD.15	1.0	1.0	years	0	AHD.15	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	German_Shepherd_Dog_Mix	Working	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-15_B9_R.K.1.20.12	false	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			M	true	true		domestic dog	Canis lupus familiaris	AHD.15	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	male	large			Suchodolski_dog_ibd	42.0	true	5.0	42.0
833.AHD.16	2.0	1.0	years	0	AHD.16	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	West_Highland_White_Terrier	Terrier	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-16_B10_R.K.1.20.12	false	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			F	true	true		domestic dog	Canis lupus familiaris	AHD.16	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	female	small			Suchodolski_dog_ibd	7.0	true	1.0	7.0
833.AHD.17	5.0	2.0	years	0	AHD.17	maybe_no			UBERON:feces	UBERON:feces	UBERON:feces	Labrador_Retriever_mix	Sporting	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-17_B11_R.K.1.20.12	false	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			MC	true	true		domestic dog	Canis lupus familiaris	AHD.17	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	male	large			Suchodolski_dog_ibd	35.2	false	4.0	35.2
833.AHD.18	6.0	3.0	years	0	AHD.18	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Cairn_Terrier	Terrier	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-18_B12_R.K.1.20.12	false	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			FS	true	true		domestic dog	Canis lupus familiaris	AHD.18	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	female	small			Suchodolski_dog_ibd	10.4	true	1.0	10.4
833.AHD.19	3.0	2.0	years	0	AHD.19	definite_yes			UBERON:feces	UBERON:feces	UBERON:feces	Fox_Terrier	Terrier	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-19_C1_R.K.1.20.12	false	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			M	true	true		domestic dog	Canis lupus familiaris	AHD.19	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	male	small			Suchodolski_dog_ibd	12.0	true	2.0	12.0
833.AHD.21	7.0	3.0	years	0	AHD.21	maybe_no			UBERON:feces	UBERON:feces	UBERON:feces	Podenco	Hound	1/30/12	1/30/12	GAZ:Germany		0	IBD1_AHD-21_C2_R.K.1.20.12	true	acute hem. diarrhea	true	202.27	NOT_EMP	ENVO:urban biome	ENVO:animal-associated habitat			F	true	true		domestic dog	Canis lupus familiaris	AHD.21	9615				51.17	10.45							CCME	Texas A&M	false			false				833	unknown	gut metagenome	female	medium			Suchodolski_dog_ibd	16.0	false	2.0	16.0
