	faith_pd
L1S105	6.263885162999999
L1S140	6.179533361000001
L1S208	7.108327566000001
L1S257	7.508412485000001
L1S281	6.210781259000001
L1S57	5.642440853
L1S76	5.530205663
L1S8	5.024805336
L2S155	18.446469437
L2S175	15.854229505
L2S204	17.383116159
L2S222	21.153442298
L2S240	8.032225653000001
L2S309	14.933681119000001
L2S357	9.719725765000002
L2S382	13.547646574999998
L3S294	11.079223898999999
L3S313	8.169113083
L3S341	10.063905675
L3S360	13.57729666
L3S378	4.68059223
L4S112	20.883565435
L4S137	13.271799018
L4S63	30.923777205999997
L5S104	6.296360161999999
L5S155	4.925582373
L5S174	5.997409148999999
L5S203	6.518085634
L5S222	5.850220168
L5S240	5.036365
L6S20	7.427104870000001
L6S68	7.114777210999999
L6S93	7.174146574
