	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.4961862017509636	0.4998424081761161	0.5899474216057394	0.5157310408817835	0.3973990087739436	0.4025999109354276	0.5142076088093953	0.851525087303755	0.8362398672223975	0.8438738072718234	0.8369744207223104	0.7718560298739038	0.8307791725623845	0.8229791733403712	0.8332335575718326	0.8416661707708477	0.7314458153961325	0.7462006670866357	0.8871505246386453	0.5329980526729499	0.8433702657726687	0.82104691846624	0.8889051643530166	0.7331179629025605	0.6973670420998234	0.7378908839332359	0.7402977111068675	0.7567202694293848	0.6955467441243676	0.7549095747223578	0.757415471355189	0.751705499642738
L1S140	0.4961862017509636	0.0	0.5558267048976393	0.5287795472022505	0.445400861361887	0.5120148388872636	0.5297613589381626	0.5429292909484732	0.8423950399668817	0.8010425257848272	0.8359794544176655	0.8507201305599474	0.7296431897473171	0.7998229262589094	0.7992714050777988	0.8076439922256349	0.8179220843828707	0.7038592442363152	0.746951889671365	0.8670929265204129	0.30229407496973376	0.8362234859217436	0.7933792120583736	0.8946738449632383	0.7438474494809797	0.715524410723362	0.7496957790671241	0.7252738331770908	0.7704887392416442	0.7112407035652261	0.7608532292464255	0.7624149401913369	0.7597564644019509
L1S208	0.4998424081761161	0.5558267048976393	0.0	0.3559987487619352	0.34516255394991496	0.41745377071871104	0.44969289617818725	0.5572734926904787	0.8702102143967562	0.8619035329506082	0.8706806415220487	0.8679656746001041	0.802827696797822	0.8649632780811124	0.8222902406682959	0.8586534615686477	0.8722680748425523	0.801526902801928	0.7924616228187795	0.8949816021146132	0.5283737056935696	0.8609853614749348	0.853070456257984	0.9152739803157706	0.8047876460207284	0.7825708075340692	0.7809079627835245	0.777175244796444	0.8064694051672476	0.7724729905860377	0.7931539067593977	0.7882657126721153	0.8061243714439866
L1S257	0.5899474216057394	0.5287795472022505	0.3559987487619352	0.0	0.3785151976612339	0.49686622056907764	0.45431429767184917	0.5263826861843564	0.8632995905887442	0.8518481001133895	0.8658619959531216	0.8672466520489094	0.7957216686579797	0.8383423023927129	0.8106680526243802	0.8439359221407406	0.8595873913545177	0.7896818169165393	0.7928898920248307	0.8664435628272137	0.5107544868125347	0.859980817848554	0.8388503924508678	0.9142140009688303	0.7997490503701172	0.7774983055974047	0.7788677237621539	0.7763445753977406	0.7908312831320166	0.7788681541740956	0.78640832255907	0.7835764558684668	0.8033113790013745
L1S281	0.5157310408817835	0.445400861361887	0.34516255394991496	0.3785151976612339	0.0	0.41841472389855894	0.41945160923370295	0.5782839351979178	0.8930582715896644	0.8712520348208171	0.8708442899175541	0.8833324265085929	0.8404947323483878	0.8579948751451681	0.8365370782516249	0.8826086805279411	0.8841722909179324	0.8164121170219901	0.7949123077695326	0.8933188323956286	0.45835388478836164	0.8648123237210623	0.8731928511541474	0.9219241445779773	0.8270371755449475	0.8066775600470262	0.8323070920824788	0.8226166763474522	0.8529944759425687	0.8019457118823768	0.8346027197939325	0.8354194148213111	0.8327651142922256
L1S57	0.3973990087739436	0.5120148388872636	0.41745377071871104	0.49686622056907764	0.41841472389855894	0.0	0.31286234319328843	0.4785091434630801	0.8955633306796951	0.888444419822307	0.8853740297021516	0.8896815938058771	0.8546121997857082	0.8764005281738289	0.846968536120755	0.900737982325381	0.8951450887180485	0.8294059112952429	0.8145715458399757	0.9011553278951802	0.522532492553603	0.8789935906465577	0.8936120505137549	0.9296124871993885	0.8309933999619608	0.8071092769982608	0.8375728139876986	0.8325264892741306	0.8555572188394938	0.8083421751253635	0.8485681310622939	0.8470948596996465	0.8424498260853984
L1S76	0.4025999109354276	0.5297613589381626	0.44969289617818725	0.45431429767184917	0.41945160923370295	0.31286234319328843	0.0	0.430832765263252	0.8801647314747327	0.8630078848548312	0.8588202249281154	0.8647408836203244	0.8169565716546897	0.8476736265961357	0.8122790622566408	0.8675732505443536	0.8656892269130502	0.7883990314976272	0.7700662002946042	0.8685637941543103	0.5033544030600232	0.8696004248586482	0.8626750781993323	0.9150406623384842	0.795536439869828	0.7648716303756935	0.8016503420707788	0.7978491163245183	0.8204758560181589	0.7666647070153203	0.8113248027327138	0.8150646508280083	0.810268959099872
L1S8	0.5142076088093953	0.5429292909484732	0.5572734926904787	0.5263826861843564	0.5782839351979178	0.4785091434630801	0.430832765263252	0.0	0.8638644369694064	0.8379860304813515	0.8553048881738756	0.8666987495527503	0.7781293940631738	0.8148538347254176	0.7779224386122144	0.8495970467423529	0.8446389275004976	0.744110020052735	0.7535499386449253	0.842342606282847	0.5317191444757368	0.8620233312368698	0.8411074721980829	0.9100852022279113	0.7478737667788519	0.7010800361395568	0.7495699319549961	0.7513585946583867	0.770278015189684	0.7084638512401279	0.7766993315709039	0.7730431237478564	0.7678350569434955
L2S155	0.851525087303755	0.8423950399668817	0.8702102143967562	0.8632995905887442	0.8930582715896644	0.8955633306796951	0.8801647314747327	0.8638644369694064	0.0	0.4767875692602097	0.40506287847967504	0.44677668625204675	0.6904382794596754	0.37982582930242165	0.6100572319681175	0.68572337318034	0.4680076752155294	0.6402476041267362	0.6137766453804434	0.4382256418264578	0.8611444187970043	0.4290314557113591	0.6690615383657565	0.589065423722175	0.7198962829825338	0.783224463558512	0.7810137411267715	0.7466866765848414	0.7700454357192227	0.7823819383295869	0.7573285237608348	0.7554479603620496	0.7706287329304157
L2S175	0.8362398672223975	0.8010425257848272	0.8619035329506082	0.8518481001133895	0.8712520348208171	0.888444419822307	0.8630078848548312	0.8379860304813515	0.4767875692602097	0.0	0.4617514841775203	0.47593255519322447	0.6136539706556574	0.41095615628989157	0.6051681051446489	0.5872239547229731	0.42887232293814215	0.5260686203136417	0.5665174110165374	0.5267672748513079	0.8232408023664963	0.4688101536604371	0.5787301807828299	0.6221064329607778	0.6897707595673931	0.7070646585294894	0.7046646628574552	0.6642949612614879	0.7263800685665043	0.6888621920751866	0.6993588012245885	0.6610018423004197	0.6709132315055109
